timestamp,open,close,change
2021-09-29,62.94,60.07,-2.87
2021-09-28,64.36,62.45,-1.91
2021-09-27,66.61,65.37,-1.24
2021-09-24,66.09,67.22,1.13
2021-09-23,64.79,66.69,1.9
2021-09-22,62.05,64.25,2.2
2021-09-21,61.51,62.78,1.27
2021-09-20,61.15,60.95,-0.2
2021-09-17,62.1,62.47,0.37
2021-09-16,61.53,62.29,0.76
2021-09-15,60.1,61.84,1.74
2021-09-14,60.065,60.19,0.125
2021-09-13,61.3,59.66,-1.64
2021-09-10,62.95,61.56,-1.39
2021-09-09,62.36,62.46,0.1
2021-09-08,64.935,62.27,-2.665
2021-09-07,64.71,64.98,0.27
2021-09-03,64.43,64.66,0.23
2021-09-02,65.97,64.6,-1.37
2021-09-01,64.65,65.55,0.9
2021-08-31,64.52,64.5,-0.02
2021-08-30,63.695,64.7,1.005
2021-08-27,62.72,63.43,0.71
2021-08-26,63.96,62.61,-1.35
2021-08-25,63.95,64.17,0.22
2021-08-24,64.84,63.98,-0.86
2021-08-23,63.2,64.13,0.93
2021-08-20,62.13,62.52,0.39
2021-08-19,61.59,62.05,0.46
2021-08-18,62.85,62.12,-0.73
2021-08-17,63.34,62.88,-0.46
2021-08-16,64.34,63.78,-0.56
2021-08-13,64.99,64.82,-0.17
2021-08-12,64.81,64.95,0.14
2021-08-11,65.79,65.46,-0.33
2021-08-10,67.2,65.68,-1.52
2021-08-09,67.5,67.01,-0.49
2021-08-06,69.3,67.37,-1.93
2021-08-05,68.85,69.28,0.43
2021-08-04,68.68,68.7,0.02
2021-08-03,69.87,68.63,-1.24
2021-08-02,70.23,69.13,-1.1
2021-07-30,69.83,69.75,-0.08
2021-07-29,69.5,70.37,0.87
2021-07-28,68.39,69.96,1.57
2021-07-27,68.32,68.33,0.01
2021-07-26,71.25,68.69,-2.56
2021-07-23,72.2,71.69,-0.51
2021-07-22,68.64,69.57,0.93
2021-07-21,67.59,69.54,1.95
2021-07-20,66.25,67.94,1.69
2021-07-19,65.24,66.02,0.78
2021-07-16,68.56,66.41,-2.15
2021-07-15,70.1,68.07,-2.03
2021-07-14,70.42,70.27,-0.15
2021-07-13,69.54,69.6,0.06
2021-07-12,69.46,69.86,0.4
